2026年7月3日作成,,,,,,,,,,,,,,,,
変電所 No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)（MW）,運用容量値（MW）,運用容量制約要因,予想潮流（MW）,空容量(当該設備)（MW）,空容量(上位系等考慮)（MW）,N-1電制適用可否,N-1電制適用可能量（MW）,平常時出力制御可能性,平常時出力制御が必要となりうる系統(当該設備),平常時出力制御が必要となりうる系統(上位系設備),備考
'601,'南相馬,275,66,3,285,228,熱容量,-442,-,-,可,0,有り,対象,-,※２ 
'602,'福島,275,66,3,285,224,熱容量,-292,-,-,可,61,有り,対象,-,※２ 
'603,'東福島,154,66,2,286,171,熱容量,-277,-,-,可,0,有り,対象,変017，送0626,
'604,'須賀川,154,66,3,285,224,熱容量,-301,-,-,可,22,有り,対象,変017，送0626，送0632,※２ 
'605,'西福島,154,66,3,381,281,熱容量,-130,-,-,可,76,有り,-,変017,※２ 
'606,'郡山,154,66,4,476,399,熱容量,-175,-,-,可,100,有り,-,変017，送0626，送0632,※３ 
'607,'日和田,154,66,3,285,228,熱容量,-159,-,-,可,57,有り,-,変017，送0626,※２ 
'608,'泉崎,154,66,3,429,306,熱容量,-384,-,-,可,123,有り,対象,変017，送0626，送0632,※２ 
'609,'平,154,66,4,428,342,熱容量,-374,-,-,可,85,有り,対象,変017，送0626，送0632,※３ 
'610,'北平,154,66,2,238,109,熱容量,-172,-,-,可,0,有り,対象,変017，送0626，送0632,
'611,'北福島,154,66,2,190,114,熱容量,-155,-,-,可,28,有り,対象,変017,
'612,'駒ヶ嶺,154,66,2,190,114,熱容量,-204,-,-,可,0,有り,対象,変021，送0624,
'613,'西白河,154,66,2,286,171,熱容量,-174,-,-,可,43,有り,対象,変017，送0626，送0632,
'614,'会津,154,66,3,285,203,熱容量,-95,-,-,可,82,有り,-,変017，送0626,※２ 
'615,'若松,154,66,3,285,228,熱容量,-52,-,-,可,57,有り,-,変017，送0626,※２ 
'6101,'西福島,66,6.6,2,33,33,熱容量,-,13,-,不可 #4,-,有り,-,変017,
'6102,'飯坂,66,33,1,15,15,熱容量,-15,-,-,不可 #3,-,有り,対象,変017,
'6102,'飯坂,66,6.6,3,52,52,熱容量,-,15,-,不可 #4,-,有り,-,変017,
'6103,'6103,33,6.6,1,9,9,熱容量,-,7,-,不可 #4,-,有り,-,変017，送611B,
'6104,'6104,33,6.6,1,5,5,熱容量,-,2,-,不可 #4,-,有り,-,変017，送611B,
'6105,'清水,66,6.6,3,57,57,熱容量,-,18,-,不可 #4,-,有り,-,変017,
'6106,'栄町,66,6.6,3,57,57,熱容量,-,21,-,不可 #4,-,有り,-,変017,
'6107,'大森,66,6.6,3,57,57,熱容量,-,14,-,不可 #4,-,有り,-,変017,
'6108,'板谷,66,6.6,1,9,9,熱容量,-,9,-,不可 #4,-,有り,-,変017,
'6201,'金谷川,66,6.6,2,33,33,熱容量,-,6,-,不可 #4,-,有り,-,変602，送621A,
'6202,'腰浜,66,6.6,3,66,66,熱容量,-,18,-,不可 #4,-,有り,-,変602，送621A,
'6203,'6203,66,6.6,1,5,5,熱容量,-,0,-,不可 #4,-,有り,-,変602，送621A,
'6204,'保原,66,6.6,3,47,47,熱容量,-,4,-,不可 #4,-,有り,-,変602，送621A,
'6205,'鎌田,66,6.6,2,38,38,熱容量,-,19,-,不可 #4,-,有り,-,変602，送621A,
'6206,'二本松,66,6.6,3,52,52,熱容量,-,10,-,不可 #4,-,有り,-,変602，送622A,
'6207,'安達,66,33,1,15,15,熱容量,-15,-,-,不可 #3,-,有り,対象,変602，送622A,
'6207,'安達,66,6.6,2,23,23,熱容量,-,3,-,不可 #4,-,有り,-,変602，送622A,
'6208,'6208,33,6.6,1,5,5,熱容量,-,0,-,不可 #4,-,有り,-,変602，送622A，変6207，送622C,
'6301,'杉田,66,6.6,3,42,42,熱容量,-,0,-,不可 #4,-,有り,-,変017，送0626，変603，送631A,
'6302,'本宮,66,6.6,3,61,61,熱容量,-,5,-,不可 #4,-,有り,-,変017，送0626，変603，送631A,
'6303,'岩代,66,33,1,10,10,熱容量,-8,-,-,不可 #3,-,有り,-,変017，送0626，変603，送631A,
'6303,'岩代,66,6.6,2,23,23,熱容量,-,7,-,不可 #4,-,有り,-,変017，送0626，変603，送631A,
'6304,'6304,33,6.6,1,9,9,熱容量,-,1,-,不可 #4,-,有り,-,変017，送0626，変603，送631A,
'6401,'伊達,66,6.6,2,38,38,熱容量,-,14,-,不可 #4,-,有り,-,変017，変611,
'6402,'笹木野,66,6.6,2,38,38,熱容量,-,12,-,不可 #4,-,有り,-,変017，変611,
'6403,'国見,66,6.6,1,19,19,熱容量,-,14,-,不可 #4,-,有り,-,変017，変611，送642A,
'6404,'梁川,66,6.6,3,37,37,熱容量,-,7,-,不可 #4,-,有り,-,変017，変611，送642A,
'6501,'原町,66,6.6,3,52,52,熱容量,-,5,-,不可 #4,-,有り,-,変601，送651A,
'6502,'小高,66,6.6,2,28,28,熱容量,-,0,-,不可 #4,-,有り,-,変601，送651A,
'6503,'原町南,66,6.6,1,19,19,熱容量,-,4,-,不可 #4,-,有り,-,変601，送651A,
'6504,'飯舘,66,6.6,2,37,37,熱容量,-,1,-,不可 #4,-,有り,-,変601，送651A，送651G,
'6506,'川俣,66,6.6,2,33,33,熱容量,-,5,-,不可 #4,-,有り,-,変601，送651A，送651G,
'6507,'浪江,66,6.6,3,42,42,熱容量,-,3,-,不可 #4,-,有り,-,変601，送652A,
'6508,'富岡,66,6.6,2,38,38,熱容量,-,0,-,不可 #4,-,有り,-,変601，送652A，送652B,
'6509,'大熊,66,6.6,2,38,38,熱容量,-,18,-,不可 #4,-,有り,-,変601，送652A，送652B,
'6510,'双葉,66,6.6,2,38,38,熱容量,-,19,-,不可 #4,-,有り,-,変601，送652A，送652B,
'6601,'駒ケ嶺,66,6.6,2,38,38,熱容量,-,1,-,不可 #4,-,有り,-,変021，送0624，変612,
'6602,'中村,66,6.6,3,52,52,熱容量,-,3,-,不可 #4,-,有り,-,変021，送0624，変612，送661A，送661B,
'6603,'鹿島,66,6.6,2,28,28,熱容量,-,4,-,不可 #4,-,有り,-,変021，送0624，変612，送661A，送661B，送661D,
'6701,'日和田,66,6.6,2,33,33,熱容量,-,7,-,不可 #4,-,有り,-,変017，送0626,
'6702,'久保田,66,6.6,3,75,75,熱容量,-,22,-,不可 #4,-,有り,-,変017，送0626,
